author,date,description,source,title,url
"Brad Lendon,Christian Edwards,Aditi Sangal,Adrienne Vogt,Matt Meyer,Maureen Chowdhury,Tori B. Powell",2023-07-13T04:00:13Z,"US President Joe Biden on Thursday said he doesn’t believe the war in Ukraine will drag on for years, asserting that Russian President Vladimir Putin has “already lost.”  Follow here for live updates.",CNN,"July 13, 2023 - Russia-Ukraine news | CNN",https://edition.cnn.com/europe/live-news/russia-ukraine-war-news-07-13-23/index.html
"Max Foster,Sharon Braithwaite,Sana Noor Haq",2023-07-12T18:48:23Z,"One of the United Kingdom’s leading news anchors, Huw Edwards, was named by his wife on Wednesday as the BBC presenter who was suspended following allegations over payments for sexually explicit images.",CNN,BBC presenter: Huw Edwards' wife names him as journalist facing allegations | CNN,https://edition.cnn.com/2023/07/12/uk/bbc-presenter-allegations-intl/index.html
Christian Edwards,2023-07-13T08:38:38Z,"At last year’s NATO summit in Madrid, the alliance formally invited Sweden and Finland to join its ranks. At this year’s summit in Vilnius, Ukrainian President Volodymyr Zelensky was hoping the alliance would extend his country the same favor.",CNN,What Zelensky wanted from NATO -- and what he got | CNN,https://edition.cnn.com/2023/07/13/europe/zelensky-nato-vilnius-explainer-intl/index.html
"Tim Lister,Anna Chernova",2023-07-13T14:46:56Z,To lose one general during a war that’s going badly might be seen as unfortunate; to lose two within 24 hours looks careless. But that is what’s happened to the Russian command in southern Ukraine – and the two cases illustrate further deficiencies and dissent among Russia’s military leadership.,CNN,Russia's missing generals reveal cracks in faltering military | CNN,https://edition.cnn.com/2023/07/13/europe/russia-military-generals-missing-popov-intl-cmd/index.html
Oliver Briscoe,2023-07-13T20:27:38Z,"A police investigation has been launched after a chopped finger was sent to the official residence of the French president, according to the Paris prosecutor’s office.",CNN,"France's Elysee Palace was mailed chopped fingertip, says Paris prosecutor | CNN",https://edition.cnn.com/2023/07/13/europe/finger-elysee-paris-intl/index.html
"Catherine Nicholls,Amy Cassidy",2023-07-13T13:07:19Z,Oscar-winning actor Kevin Spacey told a court in London Thursday in his ongoing sexual assault trial that he touched the complainant – who is one of four men who made allegations against the actor – in a “romantic and intimate” way.,CNN,Kevin Spacey trial: Actor tells UK court he touched complainant in 'romantic and intimate ways' | CNN,https://edition.cnn.com/2023/07/13/europe/kevin-spacey-sexual-assault-trial-intl/index.html
"Tim Lister,Uliana Pavlova,Anna Chernova",2023-07-13T03:16:18Z,A senior Russian general in command of forces in occupied southern Ukraine says he was suddenly dismissed from his post after accusing Moscow’s Defense Ministry leadership of betraying his troops by not providing sufficient support.,CNN,Gen. Ivan Popov: Russian general in Ukraine says he was fired after accusing defense ministry of betraying troops | CNN,https://edition.cnn.com/2023/07/12/europe/russian-general-treachery-accusations-ukraine-intl-hnk/index.html
Sharon Braithwaite,2023-07-13T15:29:00Z,A court ruling that found a school janitor not guilty of groping a student because the act only lasted less than 10 seconds has sparked outrage in Italy.,CNN,"Man acquitted of assault as grope lasted less than 10 seconds, sparking outrage | CNN",https://edition.cnn.com/2023/07/13/europe/italy-groping-court-ruling-scli-intl/index.html
"Sebastian Shukla,Alex Marquardt,Dasha Tarasova-Markin",2023-07-14T04:03:34Z,"The much-anticipated and controversial American-made cluster munitions that the United States agreed to supply to Kyiv are now in Ukraine, according to a Ukrainian general and the Pentagon.",CNN,"US cluster munitions are now in Ukraine, say Ukrainian general and Pentagon | CNN",https://edition.cnn.com/2023/07/14/europe/ukraine-us-cluster-munitions-intl/index.html
"Max Foster,Lauren Said-Moorhouse",2023-07-14T12:19:01Z,The meeting between the two heads of state was a little different this time round.,CNN,King Charles shakes things up with Biden meeting | CNN,https://edition.cnn.com/2023/07/14/uk/royal-news-newsletter-07-14-23-scli-gbr-cmd-intl/index.html
"By <a href=""/profiles/kathleen-magramo"">Kathleen Magramo</a>, Sophie Tanno, Ed Upright, <a href=""/profiles/aditi-sandal"">Aditi Sangal</a>, <a href=""/profiles/adrienne-vogt"">Adrienne Vogt</a> and <a href=""/profiles/tori-powell"">Tori B. Powell</a>, CNN",2023-06-30T04:00:23Z,Ukraine claimed advances on the southern front and in the east -- but it did not make any specific claims to newly captured territory. ,CNN,"June 30, 2023 Russia-Ukraine news",https://edition.cnn.com/europe/live-news/russia-ukraine-war-news-06-30-23/index.html
"Anna Chernova,Uliana Pavlova",2023-07-14T08:24:14Z,"The Russian State Duma, or lower house of parliament, has voted in favor of a new law banning nearly all medical help for transgender people including gender reassignment surgery, in a raft of new anti-LGBTQ laws in Russia.",CNN,Russia LGBTQ rights: Duma votes in favor of law to ban gender reassignment surgery | CNN,https://edition.cnn.com/2023/07/14/europe/russia-lgbtq-rights-gender-reassignment-surgery-intl/index.html
Joshua Berlinger,2023-07-01T05:10:37Z,What does it mean to be French?,CNN,Violent protests challenge French view on race | CNN,https://edition.cnn.com/2023/07/01/europe/nahel-france-protests-race-anger-intl/index.html
Nathan Hodge,2023-07-14T16:27:27Z,"Now you see Wagner, now you don’t.",CNN,Wagner 'does not exist': Why Putin claims a rift in the mercenary group | CNN,https://edition.cnn.com/2023/07/14/europe/russia-putin-wagner-prigozhin-tensions-intl/index.html
